,Date Local,NO2 Mean
0,2006-02-15,30.166667
1,2006-02-16,24.521739
2,2006-02-17,6.913042999999999
3,2006-02-18,6.086957
4,2006-02-19,9.869565
5,2006-02-20,24.73913
6,2006-02-21,21.826087
7,2006-02-22,19.565217
8,2006-02-23,18.782609
9,2006-02-24,7.913042999999999
10,2006-02-25,14.521739000000002
11,2006-02-26,2.173913
12,2006-02-27,11.869565
13,2006-02-28,9.2
14,2006-03-01,13.913043
15,2006-03-02,15.304348
16,2006-03-03,4.73913
17,2006-03-04,2.565217
18,2006-03-05,5.391304
19,2006-03-06,19.521739
20,2006-03-07,13.608695999999998
21,2006-03-08,25.772727
22,2006-03-09,11.666667
23,2006-03-10,8.434783
24,2006-03-11,15.73913
25,2006-03-12,12.391304
26,2006-03-13,12.521739
27,2006-03-14,5.681818
28,2006-03-15,3.772727
29,2006-03-16,13.608695999999998
30,2006-03-17,10.714286
31,2006-03-18,3.73913
32,2006-03-19,5.478261
33,2006-03-20,16.0
34,2006-03-21,8.857142999999997
35,2006-03-22,6.043478
36,2006-03-23,10.318182
37,2006-03-24,11.318182
38,2006-03-25,11.521739
39,2006-03-26,7.130435
40,2006-03-27,15.782609
41,2006-03-28,20.086957
42,2006-03-29,21.73913
43,2006-03-30,25.380952
44,2006-03-31,15.85
45,2006-04-01,6.565217
46,2006-04-02,6.695652000000001
47,2006-04-03,7.304347999999999
48,2006-04-04,9.333333
49,2006-04-05,6.7727270000000015
50,2006-04-06,14.608695999999998
51,2006-04-07,18.086957
52,2006-04-08,12.478261
53,2006-04-09,10.347826
54,2006-04-10,24.434783
55,2006-04-11,16.954545
56,2006-04-12,8.391304
57,2006-04-13,16.391304
58,2006-04-14,25.565217
59,2006-04-15,11.73913
60,2006-04-16,8.043478
61,2006-04-17,11.73913
62,2006-04-18,13.478260999999998
63,2006-04-19,13.913043
64,2006-04-20,20.809524
65,2006-04-21,12.333333
66,2006-04-22,4.173913
67,2006-04-23,8.173913
68,2006-04-24,18.090909
69,2006-04-25,16.826087
70,2006-04-26,10.428571
71,2006-04-27,18.347826
72,2006-04-28,7.608696000000001
73,2006-04-29,10.391304
74,2006-04-30,8.260869999999999
75,2006-05-01,11.952381
76,2006-05-02,18.347826
77,2006-05-03,13.304348
78,2006-05-04,18.304348
79,2006-05-05,17.826087
80,2006-05-06,9.304348
81,2006-05-07,5.086957
82,2006-05-08,11.652174
83,2006-05-09,19.105263
84,2006-05-10,14.521739000000002
85,2006-05-11,5.782609
86,2006-05-12,14.095238
87,2006-05-13,8.0
